h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial
8aa8b1b0a627fff,-22.432766025057965,-41.80579859421796,0.018351121952198665,22.202746921120248,ruim,22.202746921120248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23117619890209395,0.23117619890209395,0.0,0.0,0.9,0.4,1.3,-1.068823801097906,11.92,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1716571548422019,1.0,0.0,0.0,0.0,0.0
8aa8b1b0a047fff,-22.437801063205864,-41.811612181532155,0.01835091073393191,19.99139876666152,muito ruim,19.99139876666152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870186670376318,0.18870186670376318,0.0,0.0,0.9,0.4,1.3,-1.1112981332962368,10.77,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1547159187465131,1.0,0.0,0.0,0.0,0.0
8aa8b1a24417fff,-22.4159552063375,-41.79753745107121,0.018351863928131512,30.0,ruim,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5449097618574731,0.5449097618574731,0.0,0.0,0.9,0.4,1.3,-0.755090238142527,18.3,64.83,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.29679236206218973,1.0,0.0,0.0,0.0,0.0
8aa8b1a22957fff,-22.394210189860573,-41.79092604762946,0.018352835257901667,91.38929447955171,muito bom,51.65647804160882,39.73281643794289,0.6465018606327335,1.4,0.9099999999999999,0.539,1.0,0.22702702702702698,0.0,0.0,0.24009999999999992,1.0646443678772952,0.5848352351498354,0.5,0.6610986462546833,0.6212498401054994,1.421144231116541,1.0,1.731158625834832,12.546759833998447,0.6422055410213445,0.0,0.0011583594806585916,0.0,0.6433639005020031,11.903395933496444,90.1,94.39,0,0,0,0,0,0,0,0,0,0,0,0,0.2919116095551566,0.0,1.053313059222172,0.1377371787367184,522872.1915352094,0.6778336847639469,0.0012870660896206572,0.7699374601191485,0.0,0.0,0.0,0.0,0.0
8aa8b1b1d247fff,-22.442718480241247,-41.796358018689446,0.018350630509281297,11.592957219041688,muito ruim,11.592957219041688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07981669712093634,0.07981669712093634,0.0,0.0,0.9,0.4,1.3,-1.2201833028790636,7.01,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.11128617495187669,1.0,0.0,0.0,0.0,0.0
8aa8b1b0a917fff,-22.450073596902413,-41.81056003320723,0.018350342553012183,10.342657973549661,muito ruim,10.342657973549661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673072731458544,0.0673072731458544,0.0,0.0,0.9,0.4,1.3,-1.2326927268541457,6.43,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.10629668850172218,1.0,0.0,0.0,0.0,0.0
8aa8b1a24707fff,-22.412942220320218,-41.80493289437949,0.018352028625747557,50.530165746814205,médio,30.0,20.530165746814205,0.18423536629506587,0.05089425293447446,0.0,0.0,0.3634960543675789,0.0,0.0,0.0,0.0,0.0,0.15228751199744073,0.0,0.05436640070351415,0.0,0.45812563438381193,0.06827064011789663,0.9158732303775401,2.247549091177323,0.0,0.0,0.5282667846152858,0.3726917439528414,0.9009585285681272,1.3465905626091956,40.34,74.3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08662071866027704,0.0,26648.589299672734,0.21850912809548226,0.5869630940169841,0.4447541869527775,0.9317293598821034,0.0,0.0,0.0,0.0
8aa8b1b190dffff,-22.424599371518717,-41.78631345507455,0.018351425350117,20.385968697242227,ruim,20.385968697242227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19536414640971572,0.19536414640971572,0.0,0.0,0.9,0.4,1.3,-1.1046358535902843,10.96,42.38,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1573732237020574,1.0,0.0,0.0,0.0,0.0
8aa8b1a24a1ffff,-22.417882324926623,-41.81688804816061,0.0183518431814861,56.6376332866698,médio,30.0,26.637633286669796,0.7065594105275776,0.0,0.0,0.0,0.24395708346817377,0.32432432432432434,0.0,0.0,0.0,0.06932199487866088,0.06270662258718147,0.0,0.10114430860276039,0.0,0.6117995814324066,0.07204423412316711,1.4413748784272031,3.6332324383714556,0.4335741435416955,0.0,0.32516673991455985,0.3711823063507332,1.1299231898069886,2.503309248564467,48.36,75.95,0,0,0,0,0,0,0,0,0,0,0,0,0.19707915615531613,0.0,0.16115086866513195,0.0,28121.564456438533,0.29180596560108135,0.3612963776828443,0.6543548334494108,0.9279557658768329,0.0,0.0,0.0,0.0
8aa8b1b0ac07fff,-22.44574165638079,-41.80256715920498,0.018350513910267797,11.799891619608559,muito ruim,11.799891619608559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08153331819282754,0.08153331819282754,0.0,0.0,0.9,0.4,1.3,-1.2184666818071725,7.08,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.11197086335921759,1.0,0.0,0.0,0.0,0.0
