h3,lat,lon,bairro,cluster_id,score_final,direct_activity_score,inherited_score,actionability_score,priority_tier,flags
89a8b1a2003ffff,-22.39573387402104,-41.80763426306591,Nova Holanda,6,79.76904740746826,49.58354914734116,30.185498260127105,79.76904740746826,validar_visualmente,
89a8b1a204fffff,-22.39119674669074,-41.798321263918666,Visconde de Araújo,3,78.62983470852902,53.045993893910484,25.583840814618533,78.62983470852902,validar_visualmente,
89a8b1a2007ffff,-22.394125700600142,-41.81067143616157,Nova Holanda,6,73.82135153597041,48.68622176712554,25.13512976884487,73.82135153597041,validar_visualmente,
89a8b1a20a3ffff,-22.397149968980393,-41.81688018302311,Nova Holanda,6,72.60733998022779,49.419462613140354,23.187877367087438,72.60733998022779,validar_visualmente,
89a8b1a2073ffff,-22.391101094669864,-41.80446275294679,Morro de São Jorge,3,70.51667387135869,52.136188216443045,18.380485654915645,70.51667387135869,validar_visualmente,
89a8b1a22b7ffff,-22.388076151284352,-41.7982541335236,Visconde de Araújo,3,65.74065241400815,51.61895720296468,14.121695211043473,65.74065241400815,validar_visualmente,
89a8b1a207bffff,-22.38958866515309,-41.801358435252205,Visconde de Araújo,3,65.46526996862478,50.20956813399964,15.255701834625143,65.46526996862478,validar_visualmente,
89a8b1a22a3ffff,-22.386563553075504,-41.7951498477791,Visconde de Araújo,9,64.41769138174465,52.59814346804107,11.819547913703573,64.41769138174465,validar_visualmente,
89a8b1a24afffff,-22.41586996252408,-41.817283528225815,Virgem Santa,12,59.59607775219621,71.52707023449723,0.0,59.59607775219621,validar_visualmente,
89a8b1a2557ffff,-22.40641412075565,-41.82322350059357,Bosque Azul,11,59.448352884492806,56.94843865881626,2.499914225676548,59.448352884492806,validar_visualmente,
89a8b1a2447ffff,-22.414549930767805,-41.80189561969611,Bosque Azul,5,62.98824353994441,30.0,32.98824353994441,56.8022112853502,validar_visualmente,
89a8b1a240fffff,-22.41445417815291,-41.80803733572965,Bosque Azul,7,60.32519696263158,30.0,30.32519696263158,55.19042866554959,validar_visualmente,
89a8b1a240bffff,-22.416061930213388,-41.8050000602789,Bosque Azul,7,58.29187146450593,30.0,28.29187146450593,54.02444724762098,validar_visualmente,
89a8b1a2403ffff,-22.417573845213056,-41.80810451680769,Virgem Santa,7,57.11266785608737,30.0,27.11266785608737,53.37654339031567,validar_visualmente,
89a8b1a2407ffff,-22.41596606249709,-41.81114179282527,Virgem Santa,7,56.93482011389103,30.0,26.93482011389103,53.28073632122138,validar_visualmente,
89a8b1a24abffff,-22.41747786238195,-41.81424626583093,Virgem Santa,12,55.5609786856046,30.0,25.560978685604603,52.5583433016573,validar_visualmente,
89a8b1a244bffff,-22.41464545113682,-41.79575390672922,Cavaleiros,-1,54.96070831607772,30.0,24.96070831607772,52.25293299727244,validar_visualmente,
89a8b1a2687ffff,-22.413133252182046,-41.79264949873067,Cavaleiros,-1,54.83986291829975,30.0,24.83986291829975,52.19222888308517,validar_visualmente,
89a8b1a2443ffff,-22.416157565670947,-41.79885833072784,Cavaleiros,-1,54.212173855333326,30.0,24.212173855333326,51.88123586348654,validar_visualmente,
89a8b1a268fffff,-22.411620968818482,-41.789545106750296,Cavaleiros,-1,54.05620644605084,30.0,24.056206446050837,51.805101505807386,validar_visualmente,
89a8b1a2413ffff,-22.42069340263111,-41.808171698543106,Virgem Santa,-1,53.78246179160201,30.0,23.78246179160201,51.67259456038912,validar_visualmente,
