h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial,rank
8aa8b1a2636ffff,-22.40236813139836,-41.79680627924217,0.01835248378030921,99.69104016477857,muito bom,57.51533292951092,42.17570723526765,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.7847391293723348,0.6,0.0,0.4249684067847279,1.2,1.5,1.0,1.8,17.609707536157064,1.217812703350182,0.0,9.591832815103546e-09,0.0,1.2178127129420149,16.39189482321505,100.0,98.97,3,0,1,0,0,0,0,0,2,0,0,0,0.5535512287955372,0.0,0.6770922541728366,0.886572938006711,394429.49338975735,0.7875123388357299,1.0657592016781717e-08,0.945469108168209,0.0,0.0,0.0,0.08751886183694037,0.0,21
8aa8b1a26357fff,-22.401963285934855,-41.79416458047661,0.018352492578044884,99.6755921730175,muito bom,54.587820166214506,45.087772006803,1.6,1.4,1.3,1.1,1.0,1.111969111969112,1.0,1.0,0.7,0.6606386111936383,0.6,0.5,0.26241829214778567,1.2,1.5,0.8579065199568152,1.8,17.592932535267348,1.185815382889763,0.0,7.593924112202291e-07,0.05683739201727392,1.2426535342994482,16.350279000967898,100.0,98.92,0,0,1,0,0,0,0,0,0,0,0,0,0.5390069922226195,0.0,0.4181049464614354,0.9855227035883242,334873.0650300078,0.7991703120436722,8.437693458002545e-07,0.8945321067543638,0.14209348004318478,0.023935176806314976,0.0,0.050417407795531194,0.0,22
8aa8b1a20c8ffff,-22.399652743441216,-41.799380845157295,0.018352617454794534,99.66014418125644,muito bom,49.7063752756993,49.95376890555714,1.6,1.4,1.3,1.1,0.63184884618257,1.2,1.0,0.7000000000000001,0.7,1.0411880683856995,0.6,0.0,1.0,1.2,1.5,1.0,1.8,17.773036914568266,1.431062200689101,0.0,0.00014324551444166596,0.0,1.4312054462035426,16.341831468364724,100.0,98.87,0,0,0,0,0,0,0,0,0,0,0,0,0.6504828184950459,0.0,2.6880527425016467,0.47801160839693835,435895.13667288603,0.8352317131981376,0.00015916168271296218,0.8151107453463068,0.0,0.0,0.0,0.0,0.0,23
8aa8b1a20d97fff,-22.403475643988365,-41.79726893837015,0.018352434766947458,99.64469618949536,muito bom,60.41302480729938,39.231671382195984,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.5778867429631203,0.6,0.0,0.46689497796220125,1.2,1.5,0.954210695015468,1.8,17.39899241594079,1.0937703465871864,0.0,2.4774388909036087e-09,0.018315721993812817,1.1120860710584382,16.28690634488235,100.0,98.82,3,1,5,2,1,1,2,0,0,1,0,0,0.49716833935781196,0.0,0.7438928824903049,0.6866980430570612,372464.1935817536,0.7618351173105871,2.7527098787817875e-09,0.9492258805993401,0.04578930498453204,0.0,0.005057664156361319,0.0,0.0,24
8aa8b1a20caffff,-22.40076028266025,-41.79984350694174,0.01835256843703117,99.62924819773428,muito bom,47.233656607508145,52.39559159022614,1.6,1.4,1.3,1.1,1.0,1.2,1.0,0.823529411764706,0.7,0.8260776740734467,0.6,0.0,1.0,1.2,1.5,1.0,1.6418445221517872,17.89145160798994,1.6161015062720037,0.0,3.435497047154936e-05,0.0,1.6161358612424752,16.275315746747463,100.0,98.76,0,0,0,0,0,0,0,0,0,0,0,0,0.7345915937600016,0.0,2.394551454239635,0.520717324999459,413796.38967671094,0.8204899218114654,3.817218941283262e-05,0.734313796629773,0.0,0.2604625558460596,0.0,1.3801288017704149e-05,0.0,25
8aa8b1a20d07fff,-22.405190288985573,-41.80169417041539,0.018352372272552802,99.6138002059732,muito bom,60.50771579968246,39.10608440629075,1.6,1.2474285260062004,1.3,1.1,1.0,1.111969111969112,1.0,0.7000000000000001,0.7,0.9642325698727324,0.4003717302213628,0.0,0.8445031587994265,0.8912406549162142,1.5,0.8934841371428479,1.8,17.05322988892789,0.7686953552005944,0.0,3.3371760298682576e-05,0.04260634514286084,0.811335072103754,16.241894816824136,100.0,98.71,0,0,0,0,0,0,0,0,0,2,0,0,0.3494069796366338,0.0,1.3455271928890449,0.1975967886974075,348760.3422990403,0.7485197500347629,3.707973366520286e-05,0.8631728600038782,0.10651586285715209,0.0,0.02070252523265274,0.0,0.0,26
8aa8b1a20db7fff,-22.40458314152312,-41.79773159913213,0.01835238574444167,99.59835221421216,muito bom,61.965688679130835,37.63266353508132,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.4616420438542007,0.6,0.0,0.4923022193221563,1.2,1.4999669533717834,0.8072437494228007,1.8,17.16115496597094,0.8728051201053979,0.0,1.6910397249506387e-08,0.07710250023087971,0.9499076372466749,16.211247328724266,100.0,98.66,2,0,9,0,0,1,0,0,0,0,0,0,0.3967296000479081,0.0,0.7843736477662038,0.5597757316840561,315097.4870888454,0.715429232843834,1.8789330277229317e-08,0.9402950964548765,0.19275625057719925,0.0,0.05800664370319685,0.04000503184865228,0.0,27
8aa8b1a26377fff,-22.40307081087967,-41.79462723456402,0.01835244358662766,99.58290422245108,muito bom,60.12051807111731,39.46238615133377,1.6,1.4,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.44980071534125393,0.6,0.5,0.20958525280067186,1.2,1.5,0.7949098928947846,1.8,17.35429586103671,1.0660945027296758,0.0,3.0426184247846044e-07,0.08203604284208615,1.1481308498336043,16.206165011203108,100.0,98.61,0,0,3,0,0,0,0,0,0,0,0,0,0.48458841033167077,0.0,0.33392729669920135,0.74582887167509,310283.12067117903,0.774876950965959,3.3806871386495606e-07,0.9010959717763066,0.20509010710521536,0.09953362171603128,0.03143245292464388,0.0,0.0,28
8aa8b1a26257fff,-22.398843067619147,-41.79409746930523,0.018352635144399956,99.56745623069001,muito bom,52.45421292728818,47.11324330340183,1.6,1.4,1.3,1.1,1.0,0.6903474903474904,0.48999999999999994,1.0,0.7,1.1,0.6,0.5,0.8018226195193005,1.2,1.5,1.0,1.6734009021764236,17.655571012043215,1.4552153001434835,0.0,1.18273349734231e-05,0.0,1.455227127478457,16.20034388456476,100.0,98.56,0,0,0,0,0,0,0,0,0,0,0,0,0.6614615000652198,0.0,1.2775252847727745,0.9130678095848792,426305.3858143779,0.8330132244416235,1.3141483303803443e-05,0.746900317868679,0.0,0.0,0.0,0.0,0.0,29
8aa8b1a2624ffff,-22.398140361209215,-41.79627649997948,0.018352675342577104,99.55200823892893,muito bom,49.08647140562974,50.4655368332992,1.6,1.3978855886171542,1.3,1.1,0.9221577755096969,1.1159404302261446,0.48999999999999994,0.7000000000000001,0.7,1.1,0.6,0.5,1.0,1.2,1.5,1.0,1.4733245762994296,17.69930837065242,1.5215039017694874,0.0,9.856011917763215e-05,0.0,1.521602461888665,16.177705908763755,100.0,98.51,0,0,0,0,0,0,0,0,0,0,0,0,0.6915926826224942,0.0,1.6280600069653148,0.7069312422580233,442930.85787205526,0.8335052997161071,0.00010951124353070239,0.6670982327408208,0.0,0.1248496215356317,0.0,0.0,0.0,30
8aa8b1a20d0ffff,-22.40428517634383,-41.80255235880456,0.018352416791721192,99.53656024716786,muito bom,53.41467592656011,46.12188432060775,1.6,1.2360032855515226,1.3,1.1,1.0,1.111969111969112,1.0,0.5764705882352941,0.7,1.0031034132401166,0.30713447797803173,0.0,1.0,0.7863535138422985,1.5,0.9673102290713309,1.8,16.988344619887705,0.885527902562169,0.00013935885977313424,0.00010438611922282542,0.013075908371467639,0.8988475559126325,16.089497063975074,100.0,98.46,0,0,1,0,0,0,0,0,0,0,0,0,0.402512682982804,0.0003483971494328356,1.7080089989513365,0.17434228146915937,377577.4326325217,0.7604693909240277,0.00011598457691425047,0.8657440709264426,0.03268977092866909,0.0,0.0,0.0,0.0,31
8aa8b1a20c27fff,-22.403177688469853,-41.80208968960125,0.018352465848372617,99.52111225540679,muito bom,50.001866177191204,49.51924607821559,1.6,1.36168093055298,1.3,1.1,1.0,1.2,1.0,0.5764705882352941,0.7,0.8912827912970684,0.3672816465820629,0.0,1.0,0.9031374416574514,1.5,0.9833179576270039,1.7099028197439647,17.193074175695827,1.098561712433976,0.00013935885977313424,9.764678264666794e-05,0.006672816949198435,1.1054715350255941,16.087602640670234,100.0,98.4,0,0,0,0,0,0,0,0,0,0,0,0,0.49934623292453445,0.0003483971494328356,2.0489721851364684,0.2002344229243912,383825.84898198186,0.7798195927317427,0.00010849642516296438,0.7614594073575865,0.016682042372996086,0.019228750921929858,0.0,0.0,0.0,32
8aa8b1a26a4ffff,-22.405893011466148,-41.79951512007459,0.018352332239197296,99.50566426364573,muito bom,60.75738526928806,38.74827899435767,1.6,1.3977372088709896,1.3,1.1,1.0,1.2,1.0,1.0,0.7,0.4871355611544756,0.45184809553553806,0.0,0.41739989507370323,1.2,1.4387187008339248,0.6891079954751198,1.8,16.78194745694375,0.5738376279779392,0.0,2.538669290343202e-06,0.12435680180995208,0.6981969684571817,16.08375048848657,100.0,98.35,0,0,8,0,0,0,0,0,1,0,0,0,0.26083528544451784,0.0,0.6650335209274094,0.31348630479718326,268984.6751520832,0.6862160623618543,2.820743655936891e-06,0.953475810935877,0.3108920045248802,0.0,0.01655568109808145,0.13394622245905713,0.0,33
8aa8b1a2622ffff,-22.400855745936397,-41.79370192802355,0.018352541560247234,99.49021627188465,muito bom,58.52918120410533,40.96103506777932,1.6,1.4,1.3,1.1,1.0,0.8756756756756757,0.7000000000000001,1.0,0.7,0.8316658757014203,0.6,0.5,0.4085654834153652,1.2,1.5,0.9081474946413286,1.8,17.42405452943379,1.335308184114446,0.0,2.2094568342696166e-06,0.03674100214346856,1.372051395714749,16.05200313371904,100.0,98.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6069582655065664,0.0,0.6509578588110371,1.0968917872888786,354484.0002441905,0.8164543316449889,2.4549520380773516e-06,0.8295995628051483,0.0918525053586714,0.0,0.05392212387633005,0.14308401149487662,0.0,34
