h3,lat,lon,bairro,score_final,beach_proximity,actionability_scenario_beach_tourism,actionability_scenario_convenience_urban,score_scenario_beach_tourism,score_scenario_convenience_urban,delta_score_urban_minus_beach
8aa8b1b0a797fff,-22.433063982042952,-41.80097761887162,Costa do Sol,19.924172146475982,0.0,19.92,19.92,19.92,19.92,0.0
8aa8b1b0a70ffff,-22.433873134389497,-41.80626129152972,Costa do Sol,21.567195839440767,0.0,21.57,21.57,21.57,21.57,0.0
8aa8b1b0a717fff,-22.43457568718734,-41.80408214698578,Costa do Sol,20.209347105827213,0.0,20.21,20.21,20.21,20.21,0.0
8aa8b1b0a71ffff,-22.433670863055994,-41.80494037177169,Costa do Sol,21.18210814893612,0.0,21.18,21.18,21.18,21.18,0.0
8aa8b1b0a727fff,-22.43588504887228,-41.80586576626078,Costa do Sol,19.96502692960534,0.0,19.97,19.97,19.97,19.97,0.0
8aa8b1b0a72ffff,-22.43498022864641,-41.80672399047449,Costa do Sol,20.973069027842556,0.0,20.97,20.97,20.97,20.97,0.0
8aa8b1b0a737fff,-22.435682778746624,-41.804544842529765,Costa do Sol,19.584600056499184,0.0,19.58,19.58,19.58,19.58,0.0
8aa8b1b0a747fff,-22.433170546595335,-41.808440431880115,Costa do Sol,22.8811326895253,0.0,22.88,22.88,22.88,22.88,0.0
8aa8b1b0a74ffff,-22.432265684771693,-41.809298649071295,Virgem Santa,23.908646019828584,0.0,23.91,23.91,23.91,23.91,0.0
8aa8b1b0a94ffff,-22.44776379440196,-41.81577664279669,Riviera Fluminense,12.442553529085696,0.0,12.44,12.44,12.44,12.44,0.0
8aa8b1b0a957fff,-22.448466363309713,-41.813597458685294,Riviera Fluminense,11.815460185011874,0.0,11.82,11.82,11.82,11.82,0.0
8aa8b1b0a95ffff,-22.447561630889226,-41.8144556896897,Riviera Fluminense,12.549872986977817,0.0,12.55,12.55,12.55,12.55,0.0
8aa8b1b0a967fff,-22.449775417632807,-41.815381138451954,Riviera Fluminense,10.879803759042225,0.0,10.88,10.88,10.88,10.88,0.0
8aa8b1b0a96ffff,-22.448870689120774,-41.81623936887519,Riviera Fluminense,11.572603617685573,0.0,11.57,11.57,11.57,11.57,0.0
8aa8b1b0a977fff,-22.4495732553344,-41.81406018136873,Riviera Fluminense,10.984657958870468,0.0,10.98,10.98,10.98,10.98,0.0
8aa8b1b0a987fff,-22.44876449437419,-41.80877636356743,Riviera Fluminense,11.007735554889553,0.0,11.01,11.01,11.01,11.01,0.0
8aa8b1b0a98ffff,-22.44785979077093,-41.8096346012958,Riviera Fluminense,11.85271365425039,0.0,11.85,11.85,11.85,11.85,0.0
8aa8b1b0a907fff,-22.450275786536526,-41.811880989645985,Riviera Fluminense,10.325486939732368,0.0,10.33,10.33,10.33,10.33,0.0
8aa8b1b0a90ffff,-22.449371081859077,-41.81273922533727,Riviera Fluminense,11.03294032482859,0.0,11.03,11.03,11.03,11.03,0.0
8aa8b1b0a917fff,-22.450073596902413,-41.81056003320723,Riviera Fluminense,10.342657973549661,0.0,10.34,10.34,10.34,10.34,0.0
8aa8b1b0a91ffff,-22.449168897207095,-41.811418270358956,Riviera Fluminense,11.10181298933,0.0,11.1,11.1,11.1,11.1,0.0
8aa8b1b0a927fff,-22.4513826607807,-41.81234371056541,Riviera Fluminense,9.516185081182833,0.0,9.52,9.52,9.52,9.52,0.0
8aa8b1b0a92ffff,-22.450477964993702,-41.81320194713881,Riviera Fluminense,10.25196904727742,0.0,10.25,10.25,10.25,10.25,0.0
8aa8b1b0a937fff,-22.451180477341293,-41.811022751611816,Riviera Fluminense,9.553502323743995,0.0,9.55,9.55,9.55,9.55,0.0
8aa8b1b0a947fff,-22.448668531803563,-41.81491841325482,Riviera Fluminense,11.714741423749015,0.0,11.71,11.71,11.71,11.71,0.0
8aa8b1b0a8b7fff,-22.44655064568911,-41.80785093995275,Riviera Fluminense,12.47201548588837,0.0,12.47,12.47,12.47,12.47,0.0
8aa8b1b0a8c7fff,-22.444038644371837,-41.81174658427386,Riviera Fluminense,15.097085636933617,0.0,15.1,15.1,15.1,15.1,0.0
8aa8b1b0a8cffff,-22.44313387639575,-41.81260481175041,Riviera Fluminense,15.87403250022823,0.0,15.87,15.87,15.87,15.87,0.0
8aa8b1b0a8d7fff,-22.443836439926358,-41.81042564081497,Riviera Fluminense,15.041017793306255,0.0,15.04,15.04,15.04,15.04,0.0
8aa8b1b0a8dffff,-22.442931676931273,-41.81128386975183,Riviera Fluminense,15.855321051111268,0.0,15.86,15.86,15.86,15.86,0.0
8aa8b1b0a8e7fff,-22.445145596730704,-41.812209300428265,Riviera Fluminense,14.278812402447889,0.0,14.28,14.28,14.28,14.28,0.0
8aa8b1b0a8effff,-22.444240837643072,-41.81306752878695,Riviera Fluminense,15.078402395212448,0.0,15.08,15.08,15.08,15.08,0.0
8aa8b1b0a8f7fff,-22.44494339847839,-41.810888354454534,Riviera Fluminense,14.260127449809504,0.0,14.26,14.26,14.26,14.26,0.0
8aa8b1b0a86ffff,-22.44575212443795,-41.81617214466612,Riviera Fluminense,14.014366526359915,0.0,14.01,14.01,14.01,14.01,0.0
8aa8b1b0a877fff,-22.446454714890542,-41.81399296775665,Riviera Fluminense,13.385898952441732,0.0,13.39,13.39,13.39,13.39,0.0
8aa8b1b0a887fff,-22.445645924306056,-41.80870917591505,Riviera Fluminense,13.357579871076966,0.0,13.36,13.36,13.36,13.36,0.0
8aa8b1b0a88ffff,-22.444741189051552,-41.80956740953591,Riviera Fluminense,14.198287467540613,0.0,14.2,14.2,14.2,14.2,0.0
8aa8b1b0a897fff,-22.445443698722947,-41.80738823059471,Riviera Fluminense,13.217252706020776,0.0,13.22,13.22,13.22,13.22,0.0
8aa8b1b0a89ffff,-22.44453896845045,-41.8082464656738,Riviera Fluminense,14.093411316214766,0.0,14.09,14.09,14.09,14.09,0.0
8aa8b1b0a8a7fff,-22.446752865079795,-41.80917188778907,Riviera Fluminense,12.605606464610283,0.0,12.61,12.61,12.61,12.61,0.0
8aa8b1b0a8affff,-22.44584813871463,-41.81003012229281,Riviera Fluminense,13.409178615668289,0.0,13.41,13.41,13.41,13.41,0.0
8aa8b1b0aaaffff,-22.439514665811636,-41.81603769822138,Riviera Fluminense,19.01749714168144,0.0,19.02,19.02,19.02,19.02,0.0
8aa8b1b0aab7fff,-22.4402173047343,-41.81385854250559,Riviera Fluminense,18.316063667888013,0.0,18.32,18.32,18.32,18.32,0.0
8aa8b1b0aac7fff,-22.43770497732255,-41.81775412739047,Virgem Santa,20.544743031624694,0.0,20.54,20.54,20.54,20.54,0.0
8aa8b1b0aacffff,-22.436800112281475,-41.8186123384571,Virgem Santa,21.25458112719411,0.0,21.25,21.25,21.25,21.25,0.0
8aa8b1b0aad7fff,-22.437502807736113,-41.81643319416619,Virgem Santa,20.69645476125937,0.0,20.7,20.7,20.7,20.7,0.0
8aa8b1b0aadffff,-22.43659794767339,-41.817291406697265,Virgem Santa,21.49977750022534,0.0,21.5,21.5,21.5,21.5,0.0
8aa8b1b0aae7fff,-22.438811991892123,-41.818216849715284,Virgem Santa,19.601679298664727,0.0,19.6,19.6,19.6,19.6,0.0
8aa8b1b0aaeffff,-22.437907135736687,-41.819075061662545,Virgem Santa,20.327435433983574,0.0,20.33,20.33,20.33,20.33,0.0
8aa8b1b0aa67fff,-22.440323272257576,-41.821321453309196,Virgem Santa,18.134705975242117,0.0,18.13,18.13,18.13,18.13,0.0
8aa8b1b0aa6ffff,-22.43941841503178,-41.82217966320405,Virgem Santa,18.740968737591423,0.0,18.74,18.74,18.74,18.74,0.0
8aa8b1b0aa77fff,-22.440121137406287,-41.820000512967724,Virgem Santa,18.494401574734777,0.0,18.49,18.49,18.49,18.49,0.0
8aa8b1b0aa87fff,-22.43931248626734,-41.81471676206998,Riviera Fluminense,19.15813029312635,0.0,19.16,19.16,19.16,19.16,0.0
8aa8b1b0aa8ffff,-22.438407653934355,-41.8155749792903,Riviera Fluminense,19.941428441600454,0.0,19.94,19.94,19.94,19.94,0.0
8aa8b1b0aa97fff,-22.439110295550446,-41.8133958269696,Riviera Fluminense,19.219150708269247,0.0,19.22,19.22,19.22,19.22,0.0
8aa8b1b0aa9ffff,-22.43820546819684,-41.81425404565226,Riviera Fluminense,20.013601904623478,0.0,20.01,20.01,20.01,20.01,0.0
8aa8b1b0aaa7fff,-22.440419489258083,-41.815179480119674,Riviera Fluminense,18.263450897589994,0.0,18.26,18.26,18.26,18.26,0.0
8aa8b1b0aa1ffff,-22.439716834183063,-41.817358635422416,Riviera Fluminense,18.874955234252155,0.0,18.87,18.87,18.87,18.87,0.0
8aa8b1b0aa27fff,-22.441930800307496,-41.81828408320531,Riviera Fluminense,17.058715697348,0.0,17.06,17.06,17.06,17.06,0.0
8aa8b1b0aa2ffff,-22.44102597578954,-41.81914229925954,Riviera Fluminense,17.762220137150507,0.0,17.76,17.76,17.76,17.76,0.0
8aa8b1b0aa37fff,-22.441728644324876,-41.816963140979,Riviera Fluminense,17.23981566700739,0.0,17.24,17.24,17.24,17.24,0.0
8aa8b1b0aa47fff,-22.439216285158505,-41.82085872432949,Virgem Santa,19.084463704833848,0.0,19.08,19.08,19.08,19.08,0.0
8aa8b1b0aa4ffff,-22.438311419046975,-41.82171693334446,Virgem Santa,19.68578906953078,0.0,19.69,19.69,19.69,19.69,0.0
8aa8b1b0aa57fff,-22.439014144111866,-41.81953778649944,Virgem Santa,19.4129857636411,0.0,19.41,19.41,19.41,19.41,0.0
8aa8b1b0aa5ffff,-22.43810928297824,-41.82039599698101,Virgem Santa,20.09213060818851,0.0,20.09,20.09,20.09,20.09,0.0
8aa8b1b0a997fff,-22.448562276193783,-41.80745541175701,Riviera Fluminense,10.95299739130361,0.0,10.95,10.95,10.95,10.95,0.0
8aa8b1b0a99ffff,-22.44765757757311,-41.808313650943674,Riviera Fluminense,11.756196018812002,0.0,11.76,11.76,11.76,11.76,0.0
8aa8b1b0a9a7fff,-22.449871396091616,-41.80923907782396,Riviera Fluminense,10.288027552306112,0.0,10.29,10.29,10.29,10.29,0.0
8aa8b1b0a9affff,-22.448966701378712,-41.81009731643521,Riviera Fluminense,11.052211818087896,0.0,11.05,11.05,11.05,11.05,0.0
8aa8b1b0a9b7fff,-22.449669184104422,-41.807918123497565,Riviera Fluminense,10.192523111375419,0.0,10.19,10.19,10.19,10.19,0.0
8aa8b1b0aa07fff,-22.44082382478596,-41.81782135849805,Riviera Fluminense,17.970507971121677,0.0,17.97,17.97,17.97,17.97,0.0
8aa8b1b0aa0ffff,-22.43991899138137,-41.81867957367166,Virgem Santa,18.68484954460621,0.0,18.68,18.68,18.68,18.68,0.0
8aa8b1b0aa17fff,-22.44062166260872,-41.8165004187843,Riviera Fluminense,18.117208155243365,0.0,18.12,18.12,18.12,18.12,0.0
